id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,3,Câu trả lời chỉ nêu thời gian xử lý (4 giờ) mà không đề cập đến thời gian phản hồi ban đầu (15 phút).,5,Trả lời đúng trọng tâm về SLA của ticket P1.,5,Retrieved: 1/1 expected sources,2,Không đầy đủ vì thiếu thông tin về thời gian phản hồi ban đầu.,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"Trả lời bám sát ngữ cảnh, không thêm thông tin không có trong ngữ cảnh.",5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,5,Bao phủ đầy đủ ý của đáp án mẫu.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần sự phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Câu trả lời RAG chính xác và bám sát ngữ cảnh cung cấp.,5,Trả lời trực tiếp câu hỏi về người phê duyệt cho Level 3.,5,Retrieved: 1/1 expected sources,5,Bao phủ đầy đủ các thành phần phê duyệt theo ngữ cảnh.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,Sản phẩm kỹ thuật số không được hoàn tiền [1].,"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,Trả lời chính xác và bám sát nội dung ngữ cảnh.,5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,5,Bao phủ đầy đủ ý của đáp án mẫu.,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Trả lời chính xác và bám sát ngữ cảnh cung cấp.,5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,5,Bao phủ đầy đủ nội dung của đáp án mẫu.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: Nếu không có phản hồi trong 10 phút, sự cố sẽ tự động được escalate lên Senior Engineer [3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Câu trả lời chính xác và bám sát nội dung ngữ cảnh cung cấp.,5,Trả lời trực tiếp câu hỏi về quy trình escalation trong sự cố P1.,5,Retrieved: 1/1 expected sources,4,Đáp án đầy đủ nhưng thiếu thông tin bổ sung về việc thông báo hoặc ghi log theo quy trình.,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Tôi không biết.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Câu trả lời 'Tôi không biết' trung thực và không bịa đặt thông tin không có trong ngữ cảnh.,5,"Câu trả lời trực tiếp trả lời câu hỏi, dù không cung cấp thông tin cụ thể nhưng phù hợp với nội dung yêu cầu.",5,Retrieved: 1/1 expected sources,1,"Không cung cấp bất kỳ thông tin nào liên quan đến tài liệu được yêu cầu, thiếu sót hoàn toàn so với đáp án mẫu.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Trả lời chính xác nội dung trong ngữ cảnh.,5,Trả lời đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,4,Bao phủ phần chính của đáp án mẫu nhưng thiếu thông tin về việc cần sự phê duyệt của Team Lead.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Trả lời trung thực và không bịa đặt thông tin không có trong ngữ cảnh.,5,"Trả lời đúng trọng tâm, nhận biết rằng không có thông tin liên quan trong ngữ cảnh.",,No expected sources,5,"Bao phủ đầy đủ ý của đáp án mẫu, xác định rõ không có thông tin để trả lời.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,Trả lời 'Tôi không biết' chính xác khi không có thông tin trong ngữ cảnh về quy trình đặc biệt cho khách hàng VIP.,5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,5,Bao phủ đầy đủ ý của đáp án mẫu bằng cách xác nhận rằng không có thông tin nào về quy trình VIP.,baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,3,"Trả lời chỉ nêu thời gian xử lý, bỏ sót phần phản hồi ban đầu.",5,Trả lời đúng trọng tâm câu hỏi về SLA của ticket P1.,5,Retrieved: 1/1 expected sources,2,"Chỉ cung cấp một phần thông tin so với đáp án mẫu, thiếu yếu tố phản hồi ban đầu.",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"Trả lời bám sát ngữ cảnh, không thêm thông tin sai lệch.",5,Trả lời đúng trọng tâm câu hỏi về thời hạn yêu cầu hoàn tiền.,5,Retrieved: 1/1 expected sources,5,"Bao phủ đầy đủ ý của đáp án mẫu, không thiếu thông tin quan trọng.",variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần sự phê duyệt của Line Manager, IT Admin, và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Câu trả lời chính xác và bám sát nội dung ngữ cảnh cung cấp.,5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,5,Bao phủ đầy đủ các bước phê duyệt được nêu trong ngữ cảnh cho Level 3.,variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,Sản phẩm kỹ thuật số không được hoàn tiền [1].,"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"Trả lời chính xác dựa trên ngữ cảnh, không thêm thông tin sai lệch.",5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,5,"Bao phủ đầy đủ ý của đáp án mẫu, chỉ cần ngắn gọn hơn.",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Trả lời chính xác và bám sát ngữ cảnh cung cấp.,5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,5,Bao phủ đầy đủ nội dung của đáp án mẫu.,variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động nếu không có phản hồi trong 10 phút, và sẽ được escalate lên Senior Engineer [2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Câu trả lời RAG bám sát ngữ cảnh, không thêm thông tin sai lệch.",5,Trả lời đúng trọng tâm câu hỏi về quy trình escalation trong sự cố P1.,5,Retrieved: 1/1 expected sources,4,"Đáp án RAG thiếu thông tin về việc ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút, nhưng vẫn gần với đáp án mẫu.",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Tôi không biết.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Trả lời 'Tôi không biết' chính xác khi không có thông tin trong ngữ cảnh về tài liệu 'Approval Matrix for System Access'.,5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,5,"Không có đáp án mẫu, nhưng trả lời đầy đủ và phù hợp với yêu cầu.",variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Trả lời chính xác nội dung trong ngữ cảnh.,5,Trả lời đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,3,Thiếu thông tin về việc cần sự phê duyệt của Team Lead.,variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"Trả lời 'Tôi không biết.' bám sát ngữ cảnh, không đưa ra thông tin sai lệch hoặc giả định.",5,Trả lời trực tiếp và đúng trọng tâm câu hỏi về lỗi ERR-403-AUTH.,,No expected sources,3,"Không bao phủ đủ ý của đáp án mẫu, thiếu giải thích ngắn gọn về khả năng liên quan đến xác thực và hướng dẫn liên hệ IT Helpdesk.",variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,Trả lời 'Tôi không biết' chính xác khi không có thông tin trong ngữ cảnh về quy trình đặc biệt cho khách hàng VIP.,5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,5,Bao phủ đầy đủ ý của đáp án mẫu bằng cách xác nhận rằng không có thông tin nào về quy trình VIP.,variant_hybrid_rerank
